Steps,Action,Change,Network
38,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
39,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
40,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
41,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
42,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
43,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
44,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
45,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
46,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
47,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
48,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
49,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
50,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
51,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
52,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
53,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
54,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
55,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
56,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
57,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
58,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
59,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
60,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
61,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
62,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
63,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
64,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
65,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
66,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
67,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
68,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
69,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
70,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
71,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
72,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
73,"Exploit: target=(2, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
74,"Exploit: target=(1, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
75,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
76,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
77,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
78,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
79,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
80,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
81,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
82,"Exploit: target=(1, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
83,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
84,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
85,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
86,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
87,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
88,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
89,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
90,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
91,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
92,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
93,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
94,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
95,"Exploit: target=(3, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
96,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
97,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
98,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
99,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
100,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
101,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
102,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
103,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
104,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
105,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
106,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
107,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
108,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
109,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
110,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
111,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
112,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
113,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
114,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
115,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
116,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
117,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
118,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
119,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
120,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
121,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
122,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
123,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
124,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
125,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
126,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
127,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
128,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
129,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
130,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
131,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
132,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
133,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
134,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
135,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
136,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
137,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
138,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
139,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
140,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
141,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
142,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
143,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
144,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
145,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
146,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
147,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
148,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
149,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
150,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
151,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
152,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
153,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
154,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
155,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
156,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
157,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
158,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
159,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
160,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
161,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
162,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
163,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
164,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
165,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
166,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
167,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
168,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
169,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
170,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
171,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
172,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
173,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
174,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
175,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
176,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
177,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
178,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
179,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
180,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
181,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
182,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
183,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
184,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
185,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
186,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
187,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
188,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
189,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
190,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
191,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
192,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
193,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
194,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
195,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
196,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
197,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
198,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
199,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
200,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
201,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
202,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
203,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
204,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
205,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
206,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
207,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
208,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
209,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
210,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
211,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
212,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
213,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
214,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
215,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
216,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
217,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
218,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
219,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
220,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
221,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
222,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
223,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
224,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
225,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
226,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
227,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
228,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
229,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
230,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
231,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
232,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
233,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
234,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
235,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
236,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
237,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
238,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
239,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
240,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
241,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
242,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
243,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER",original,tiny.yaml
244,"Exploit: target=(2, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
245,"Exploit: target=(3, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
246,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
247,"Exploit: target=(2, 0), cost=1.00, prob=0.80, req_access=USER, os=linux, service=ssh, access=1",original,tiny.yaml
248,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2",original,tiny.yaml
1,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
2,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
3,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
4,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
5,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
6,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
7,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
8,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
9,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
10,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",new sensitive host,tiny.yaml
