,action_num_val,action_verbose
81,53,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
82,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
83,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
84,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
85,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
86,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
87,52,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
88,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
89,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
90,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
91,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
92,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
93,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
94,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
95,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
96,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
97,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
98,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
99,53,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
100,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
101,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
102,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
103,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
104,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
105,33,"Exploit: target=(3, 1), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
106,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
107,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
108,52,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
109,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
110,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
111,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
112,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
113,70,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
114,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
115,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
116,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
117,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
118,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
119,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
120,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
121,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
122,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
123,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
124,32,"Exploit: target=(3, 1), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
125,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
126,24,"Exploit: target=(3, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
127,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
128,66,"ProcessScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
129,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
130,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
131,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
132,21,"ProcessScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
133,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
134,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
135,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
136,61,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
137,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
138,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
139,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
140,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
141,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
142,32,"Exploit: target=(3, 1), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
143,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
144,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
145,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
146,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
147,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
148,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
149,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
150,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
151,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
152,38,"SubnetScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
153,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
154,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
155,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
156,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
157,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
158,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
159,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
160,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
161,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
162,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
163,52,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
164,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
165,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
166,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
167,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
168,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
169,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
170,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
171,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
172,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
173,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
174,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
175,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
176,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
177,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
178,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
179,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
180,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
181,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
182,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
183,61,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
184,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
185,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
186,22,"Exploit: target=(3, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
187,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
188,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
189,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
190,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
191,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
192,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
193,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
194,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
195,70,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
196,59,"Exploit: target=(3, 4), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
197,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
198,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
199,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
200,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
201,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
202,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
203,51,"Exploit: target=(3, 3), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
204,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
205,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
206,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
207,66,"ProcessScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
208,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
209,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
210,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
211,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
212,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
213,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
214,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
215,66,"ProcessScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
216,69,"Exploit: target=(4, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
217,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
218,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
219,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
220,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
221,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
222,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
223,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
224,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
225,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
226,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
227,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
228,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
229,69,"Exploit: target=(4, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
230,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
231,59,"Exploit: target=(3, 4), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
232,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
233,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
234,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
235,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
236,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
237,71,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
238,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
239,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
240,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
241,71,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
242,36,"ServiceScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
243,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
244,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
245,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
246,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
247,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
248,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
249,22,"Exploit: target=(3, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
250,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
251,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
252,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
253,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
254,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
255,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
256,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
257,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
258,37,"OSScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
259,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
260,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
261,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
262,37,"OSScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
263,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
264,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
265,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
266,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
267,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
268,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
269,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
270,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
271,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
272,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
273,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
274,52,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
275,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
